law_id,law_name,author_or_source,year_or_url,statement,keywords,category
fitts,Fitts's Law,Paul Fitts,1954,"The time to acquire a target is a function of the distance to and size of the target. Larger closer elements are selected more quickly.","target size distance tap click touch",Interaction
hick,Hick's Law,William Edmund Hick,1952,The time it takes to make a decision increases with the number and complexity of choices. Too many options overwhelm users.,choices options menu complexity decision,Interaction
jakob,Jakob's Law,Jakob Nielsen,NNG,Users spend most of their time on other sites and prefer your site to work the same way as sites they already know. Familiarity enhances UX.,familiarity convention consistency expectation,Interaction
miller,Miller's Law,George Miller,1956,The average person can only keep 7 (plus or minus 2) items in their working memory.,memory chunking items working memory,Memory
tesler,Tesler's Law (Conservation of Complexity),Larry Tesler,1984,For any system there is a certain amount of complexity that cannot be reduced. It can only be moved.,complexity tradeoff inherent,Complexity
doherty,Doherty Threshold,Walter J. Doherty,1982,Productivity soars when a computer and its users interact at a pace under 400ms so neither has to wait on the other.,response time 400ms feedback delay,Interaction
peak-end,Peak-End Rule,Daniel Kahneman,1990s,People judge an experience largely based on how they felt at its peak and at its end rather than the total sum of every moment.,peak end experience memory satisfaction,Perception
gestalt-proximity,Law of Proximity (Gestalt),Gestalt psychology,,Objects near each other tend to be grouped together.,proximity grouping layout spacing,Perception
gestalt-similarity,Law of Similarity (Gestalt),Gestalt psychology,,Similar elements are perceived as a complete group.,similarity visual group pattern,Perception
gestalt-common-region,Law of Common Region (Gestalt),Gestalt psychology,,Elements sharing a clearly defined boundary are perceived as groups.,boundary region container card,Perception
gestalt-pragnanz,Law of Prägnanz (Gestalt),Gestalt psychology,,People perceive ambiguous images as the simplest form possible.,simplicity clarity minimal,Perception
aesthetic-usability,Aesthetic-Usability Effect,,,Users perceive aesthetically pleasing design as more usable.,aesthetic beauty perceived usability,Perception
zeigarnik,Zeigarnik Effect,Bluma Zeigarnik,1927,People remember uncompleted or interrupted tasks better than completed ones.,incomplete task progress reminder,Memory
von-restorff,Von Restorff Effect (Isolation Effect),Hedwig Von Restorff,1933,Items that stand out are more likely to be remembered.,isolation distinct highlight salient,Memory
cognitive-load,Cognitive Load,,,The amount of mental resources needed to understand and interact with an interface. Minimize unnecessary load.,cognitive load mental effort simplicity,Memory
chunking,Chunking,,,Group related information into small meaningful units (about 4-7 items) to aid memory and scanning.,chunk group digest scan,Memory
occam,Occam's Razor,,,Among competing hypotheses the simplest solution is usually the best. Prefer minimal UI.,simplicity minimal reduce,Complexity
postel,Postel's Law (Robustness),Jon Postel,,Be liberal in what you accept and conservative in what you send. Tolerate varied input; output consistently.,robustness input validation tolerance,Interaction
serial-position,Serial Position Effect,,,Users best remember the first and last items in a list. Primacy and recency.,first last list order primacy recency,Memory
goal-gradient,Goal-Gradient Effect,,,People are more motivated as they get closer to a goal. Progress indicators increase completion.,progress goal motivation completion,Perception

hig-clarity,Clarity (Apple HIG),Apple Human Interface Guidelines,Apple HIG,Interfaces should be easily understood so users can navigate and interact without confusion. Text is legible; icons are precise; functionality is obvious.,clarity legibility obvious ios apple,Platform
hig-deference,Deference (Apple HIG),Apple Human Interface Guidelines,Apple HIG,Focus on content over UI chrome. Content takes center stage; interface recedes. Fluidity and deference to user control.,content first chrome minimal ios apple,Platform
hig-depth,Depth (Apple HIG),Apple Human Interface Guidelines,Apple HIG,Use visual layers and motion to communicate hierarchy and organization. Depth and fluid motion connect interface elements and clarify structure.,depth hierarchy layers motion ios apple,Platform
hig-consistency,Consistency (Apple HIG),Apple Human Interface Guidelines,Apple HIG,Maintain familiar patterns across Apple platforms. Standard controls and paradigms reduce cognitive load and match user expectations.,consistency pattern familiar ios apple,Platform
hig-44pt,Minimum Touch Target (Apple HIG),Apple Human Interface Guidelines,Apple HIG,On touchscreen interactive elements need a hit target of at least 44×44 points to accommodate a fingertip. Include padding so controls are distinguishable.,touch target 44pt 44px ios apple accessibility,Interaction
material-metaphor,Material is the Metaphor,Material Design,Google Material,Surfaces and edges provide visual cues grounded in tactile reality (paper and ink). Light surface and movement convey how objects interact in space.,material surface paper ink android metaphor,Platform
material-bold,Bold Graphic Intentional,Material Design,Google Material,Print-based design—typography grids space scale color imagery—creates hierarchy meaning and focus. Bold graphic choices immerse users.,typography grid scale color hierarchy android,Perception
material-motion,Motion Provides Meaning,Material Design,Google Material,Motion respects the user as prime mover. Transitions are meaningful efficient coherent. Responsive 150–400ms; natural (gravity/friction); aware; intentional.,motion transition animation android 150ms 400ms,Interaction
material-responsive,Material Motion Responsive,Material Design,Google Material,Motion reacts quickly to user input (150–400ms). Feedback and transitions feel immediate and natural.,responsive motion delay feedback android,Interaction
platform-adaptivity,Adaptivity (Apple HIG),Apple Human Interface Guidelines,Apple HIG,Interfaces adapt to different devices orientations and screen sizes. Maintain focus on content; use visual weight for importance; support portrait and landscape.,adaptivity responsive orientation ios,Platform

wcag-perceivable,Perceivable (WCAG POUR),W3C Web Accessibility Initiative,WCAG 2.x,Information and UI components must be presentable to users in ways they can perceive. Provide text alternatives for non-text content; captions; content can be presented in different ways.,accessibility perceivable alt text senses w3c,Accessibility
wcag-operable,Operable (WCAG POUR),W3C Web Accessibility Initiative,WCAG 2.x,UI components and navigation must be operable. All functionality available from keyboard; users have enough time; no seizure-inducing content; navigable and input-modality agnostic.,accessibility operable keyboard navigation w3c,Accessibility
wcag-understandable,Understandable (WCAG POUR),W3C Web Accessibility Initiative,WCAG 2.x,Information and operation of the UI must be understandable. Readable text; predictable behavior; input assistance and error identification/suggestion.,accessibility understandable readable predictable w3c,Accessibility
wcag-robust,Robust (WCAG POUR),W3C Web Accessibility Initiative,WCAG 2.x,Content must be robust enough for reliable interpretation by assistive technologies and across user agents. Use valid markup and well-adopted standards.,accessibility robust compatible assistive tech w3c,Accessibility

nng-visibility,Visibility of System Status (Nielsen),Nielsen Norman Group,1995,Keep users informed about what is going on through appropriate feedback within a reasonable time. System status and progress should be visible.,feedback status progress visibility heuristic,Interaction
nng-match-world,Match System and Real World (Nielsen),Nielsen Norman Group,1995,Use language and concepts familiar to the user. Follow real-world conventions; information appears in natural order. Metaphors from everyday life.,familiar language convention metaphor heuristic,Interaction
nng-user-control,User Control and Freedom (Nielsen),Nielsen Norman Group,1995,Users often choose system functions by mistake. Support undo and redo; provide a clear emergency exit; allow reversal of actions.,undo exit cancel control heuristic,Interaction
nng-consistency-standards,Consistency and Standards (Nielsen),Nielsen Norman Group,1995,Users should not wonder whether different words situations or actions mean the same thing. Follow platform and industry conventions.,consistency standards convention heuristic,Interaction
nng-error-prevention,Error Prevention (Nielsen),Nielsen Norman Group,1995,Prevent problems before they occur. Eliminate error-prone conditions or check for them; confirm before destructive or irreversible actions.,prevention confirmation destructive heuristic,Interaction
nng-recognition-recall,Recognition Rather Than Recall (Nielsen),Nielsen Norman Group,1995,Minimize the user's memory load. Make objects actions and options visible. User should not have to remember information from one part of the dialogue to another.,recognition recall memory visible heuristic,Memory
nng-flexibility,Flexibility and Efficiency of Use (Nielsen),Nielsen Norman Group,1995,Accelerators for expert users may speed up interaction. Allow users to tailor frequent actions. Cater to both inexperienced and experienced users.,shortcuts accelerators expert novice heuristic,Interaction
nng-aesthetic-minimal,Aesthetic and Minimalist Design (Nielsen),Nielsen Norman Group,1995,Dialogues should not contain irrelevant or rarely needed information. Every extra unit of information competes with relevant units and diminishes their visibility.,minimal clutter focus heuristic,Perception
nng-error-recovery,Help Users Recognize Diagnose Recover from Errors (Nielsen),Nielsen Norman Group,1995,Error messages should be expressed in plain language; indicate the problem; and suggest a constructive solution. Avoid error codes only.,error message plain language solution heuristic,Interaction
nng-help-docs,Help and Documentation (Nielsen),Nielsen Norman Group,1995,Provide help and documentation when needed. Easy to search; focused on the user's task; list concrete steps; and not too large.,help documentation search task heuristic,Interaction

iso-hcd-understand,Design Based on Understanding (ISO 9241-210),ISO,ISO 9241-210:2019,Design is based on an explicit understanding of users tasks and environments. Design decisions are grounded in who will use the system and in what context.,human-centred design context tasks users iso,Process
iso-hcd-involvement,User Involvement (ISO 9241-210),ISO,ISO 9241-210:2019,Users are involved throughout design and development. Active participation across all stages of the design process.,human-centred design participation iso,Process
iso-hcd-evaluation,Evaluation-Driven Design (ISO 9241-210),ISO,ISO 9241-210:2019,Design is driven and refined by user-centred evaluation. The design is validated and improved through testing and feedback with users.,human-centred design evaluation test iso,Process
iso-hcd-iterative,Iterative Design (ISO 9241-210),ISO,ISO 9241-210:2019,The design process is iterative. Progress through repeated cycles of refinement based on evaluation results.,human-centred design iterate cycle iso,Process
iso-hcd-whole-ux,Whole User Experience (ISO 9241-210),ISO,ISO 9241-210:2019,Design addresses the whole user experience. Consider all aspects of how users interact with and experience the system.,human-centred design experience iso,Process
iso-hcd-multidisciplinary,Multidisciplinary Team (ISO 9241-210),ISO,ISO 9241-210:2019,The design team includes diverse skills and perspectives necessary to address human factors and system requirements.,human-centred design team iso,Process

govuk-user-needs,Start with User Needs (GOV.UK),UK Government Digital Service,GOV.UK Design Principles,Research and understand what users actually need. Do not make assumptions; start with user needs not government or technology constraints.,user needs research government digital,Process
govuk-simple,Do the Hard Work to Make It Simple (GOV.UK),UK Government Digital Service,GOV.UK Design Principles,Simplicity requires effort. Take complexity out of the system so that the user experience is simple especially when the underlying systems are complex.,simplicity complexity government digital,Complexity
govuk-iterate,Iterate. Then Iterate Again (GOV.UK),UK Government Digital Service,GOV.UK Design Principles,Release minimum viable products early; test with users; and continuously refine. Iteration reduces risk and improves outcomes.,iterate mvp test government digital,Process
govuk-everyone,This Is for Everyone (GOV.UK),UK Government Digital Service,GOV.UK Design Principles,Design inclusively and accessibly for all users. Include those who find services hardest to use; accessibility is not optional.,inclusive accessibility everyone government digital,Accessibility
govuk-consistent,Be Consistent Not Uniform (GOV.UK),UK Government Digital Service,GOV.UK Design Principles,Use common patterns and language while allowing flexibility for different circumstances. Consistency helps users; uniformity can constrain.,consistency patterns government digital,Platform

gestalt-connectedness,Law of Uniform Connectedness (Gestalt),Gestalt psychology,Laws of UX,Elements that are visually connected (e.g. by line or color) are perceived as more related than elements with no connection.,connectedness line color relation gestalt,Perception
mental-model,Mental Model,Don Norman / NN/g,,Users form a mental model of how the system works. Design so that the system model matches the user's mental model to reduce errors and confusion.,mental model expectation affordance,Perception
paradox-active-user,Paradox of the Active User,John Carroll,1980s,Users prefer to do rather than read or learn. They start using before mastering; design for immediate use and progressive disclosure.,active user learn by doing documentation,Interaction
choice-overload,Choice Overload,Laws of UX,,When people are given too many options they can become overwhelmed and find it harder to make a decision. Reduce options or chunk and guide.,choices options overload decision,Interaction
flow,Flow (Csikszentmihalyi),Mihaly Csikszentmihalyi,,A state of focused engagement where the user is fully immersed. Design for clear goals immediate feedback and matched challenge to skill.,flow engagement focus immersion,Perception
